submission_id,quality_score,functionality_score
269308927,3,1
268967990,3,1
4278977,3,1
204115614,2,1
269005075,3,1
269170574,3,1
269308016,3,1
245969688,2,0
225507580,3,1
73921389,3,1
137849766,2,1
130417385,2,0
136272729,3,1
9383316,3,1
267583203,2,1
137964971,2,1
107136237,3,1
58950256,3,1
46680942,2,0
85726948,3,1
199375056,3,1
268649481,3,1
158242314,3,1
19185713,3,1
4286521,3,1
86840533,2,0
220509822,3,1
220758338,3,1
112404248,2,1
189849393,3,1
123945932,3,1
43522335,2,0
87432861,2,1
169976018,3,1
82025698,2,1
233720349,2,0
166294041,2,1
9741875,2,1
39669757,3,1
38123484,3,1
167105542,2,1
162488646,3,1
265000937,3,1
179459229,3,1
18881650,2,0
167104620,3,1
19786574,2,0
52938728,3,1
234429687,3,1
169473686,2,0
119545358,2,0
254086103,3,1
139403250,2,0
196247667,2,0
58063537,3,1
219163636,3,1
60418293,2,0
118507586,3,1
131670468,2,1
102749520,3,1
104735818,2,1
216820075,2,1
162314158,3,1
213203737,2,0
182187454,2,0
214393093,2,0
223297131,2,0
101387883,3,1
14825864,3,1
158767022,3,1
162489352,3,1
144771675,3,1
81955318,3,1
186987706,3,1
100791100,2,0
262282481,3,1
190652630,3,1
117131173,3,1
74000860,3,1
86089020,3,1
69431188,3,1
95693850,3,1
37380947,2,1
112778295,3,1
248322190,2,0
190269470,2,1
56472008,2,0
89771800,2,0
21342587,3,1
112326675,2,1
213359347,3,1
111625189,3,1
9620686,2,1
29829331,2,0
84583002,3,1
84370772,2,1
186104766,2,0
218245929,2,1
43994453,2,1
94500640,3,1
141269710,3,1
44430808,3,1
145163652,2,0
160716626,1,0
46965481,3,1
134083293,2,0
44277185,2,1
166443798,3,1
111410634,3,1
145067225,3,1
200715488,3,1
144887327,3,1
170005027,2,0
9230385,3,1
50632194,2,0
147263807,2,1
204196328,3,1
165698486,2,1
267611391,2,1
182425118,3,1
149900145,2,1
234666884,2,1
49185916,3,1
221241840,3,1
131307519,2,1
216659401,2,1
235699917,2,0
261090890,3,1
46888850,3,1
14365448,2,1
177015175,3,1
43521143,2,1
85572510,3,1
129326927,3,1
105126921,2,1
154156234,2,1
78098112,2,1
15813256,3,1
15797499,3,1
54319605,2,1
144995114,2,1
15817506,2,1
77988853,1,0
113002034,2,1
117302304,2,1
232308516,3,1
90502454,2,1
